Image,Width,Height,Pixels,Time_ms,Orig_Size,Comp_Size,Reduction,Pixel_Diff_Min,Pixel_Diff_Max,Changed_Pixels,PSNR
./images\image1.jpg,200,200,40000,187.001,120000,17317,85.5692,1,5,37749,53.0475
./images\image2.jpg,224,224,50176,261.491,150528,15519,89.6903,1,1,8054,60.8469
./images\image3.jpg,248,248,61504,287.414,184512,33277,81.9649,1,7,47215,54.1106
./images\image4.jpg,272,272,73984,318.717,221952,48058,78.3476,1,7,57996,53.7938
./images\image5.jpg,296,296,87616,326.195,262848,32883,87.4897,1,4,62476,55.4011
./images\image6.jpg,320,320,102400,376.523,307200,49282,83.9577,1,5,76768,54.4893
./images\image7.jpg,344,344,118336,426.606,355008,61002,82.8167,1,10,100560,53.9804
./images\image8.jpg,368,368,135424,520.227,406272,76188,81.247,1,6,95966,54.881
./images\image9.jpg,392,392,153664,542.003,460992,78873,82.8906,1,5,125059,54.5044
./images\image10.jpg,416,416,173056,564.279,519168,55026,89.4011,1,9,111750,54.7475
./images\image11.jpg,440,440,193600,662.922,580800,65439,88.733,1,10,189050,52.7894
./images\image12.jpg,464,464,215296,713.94,645888,78396,87.8623,1,5,131662,55.3533
./images\image13.jpg,488,488,238144,773.099,714432,102902,85.5967,1,4,200817,53.745
./images\image14.jpg,512,512,262144,915.439,786432,165016,79.0171,1,8,190556,55.0354
./images\image15.jpg,536,536,287296,981.723,861888,137707,84.0226,1,6,237919,53.8187
./images\image16.jpg,560,560,313600,1019.66,940800,151461,83.9008,1,5,227943,54.5172
./images\image17.jpg,584,584,341056,1169.98,1023168,164088,83.9628,1,4,236529,55.4166
./images\image18.jpg,608,608,369664,1399.53,1108992,286683,74.1492,1,6,318408,53.7704
./images\image19.jpg,632,632,399424,1367.11,1198272,231631,80.6696,1,12,338720,53.9366
./images\image20.jpg,656,656,430336,1356.8,1291008,166379,87.1125,1,13,290643,55.4484
./images\image21.jpg,680,680,462400,1545.64,1387200,215120,84.4925,1,7,341631,55.0574
./images\image22.jpg,704,704,495616,1813.46,1486848,321286,78.3915,1,12,383419,53.9591
./images\image23.jpg,728,728,529984,1806.31,1589952,223396,85.9495,1,13,300189,55.0586
./images\image24.jpg,752,752,565504,1826.88,1696512,255275,84.953,1,5,443658,54.8374
./images\image25.jpg,776,776,602176,2119.98,1806528,402380,77.7263,1,12,493340,54.606
./images\image26.jpg,800,800,640000,2310.41,1920000,498688,74.0267,1,16,560519,52.8436
./images\image27.jpg,824,824,678976,2124.67,2036928,286891,85.9155,1,9,476918,54.3015
./images\image28.jpg,848,848,719104,2431.21,2157312,423952,80.3481,1,7,551503,54.7825
./images\image29.jpg,872,872,760384,2890.09,2281152,578645,74.6337,1,9,563209,54.7341
./images\image30.jpg,896,896,802816,2968.97,2408448,604312,74.9087,1,9,604811,54.58
./images\image31.jpg,920,920,846400,2855.96,2539200,450464,82.2596,1,9,600191,55.1027
./images\image32.jpg,944,944,891136,3212.97,2673408,488216,81.7381,1,7,687655,55.2919
./images\image33.jpg,968,968,937024,3815,2811072,947854,66.2814,1,11,796852,53.7458
./images\image34.jpg,992,992,984064,3715.85,2952192,664244,77.5,1,10,713063,55.1219
./images\image35.jpg,1016,1016,1032256,3991.05,3096768,859279,72.2524,1,6,808584,54.3375
./images\image36.jpg,1040,1040,1081600,3750.39,3244800,628971,80.616,1,10,803279,54.3478
./images\image37.jpg,1064,1064,1132096,4008.94,3396288,653867,80.7476,1,9,813863,54.8305
./images\image38.jpg,1088,1088,1183744,4375.73,3551232,943622,73.4283,1,14,1000950,53.6615
./images\image39.jpg,1112,1112,1236544,5175.15,3709632,1557977,58.0018,1,14,1088464,53.0142
./images\image40.jpg,1136,1136,1290496,4712.68,3871488,962008,75.1515,1,10,1082413,53.611
./images\image41.jpg,1160,1160,1345600,4708.74,4036800,835441,79.3044,1,8,1154510,53.9777
./images\image42.jpg,1184,1184,1401856,4878.84,4205568,944849,77.5334,1,12,1189161,54.2138
./images\image43.jpg,1208,1208,1459264,4919.66,4377792,696594,84.088,1,13,1191100,54.9299
./images\image44.jpg,1232,1232,1517824,5050.8,4553472,647245,85.7857,1,4,1036520,55.5099
./images\image45.jpg,1256,1256,1577536,5534.41,4732608,817844,82.719,1,8,1178262,55.0244
./images\image46.jpg,1280,1280,1638400,5790.31,4915200,1027787,79.0896,1,7,1246558,54.745
./images\image47.jpg,1304,1304,1700416,6001.38,5101248,1185370,76.7631,1,12,1228871,54.4153
./images\image48.jpg,1328,1328,1763584,6226.02,5290752,1076342,79.6562,1,8,1350139,54.6982
./images\image49.jpg,1352,1352,1827904,7367.38,5483712,1745828,68.1634,1,7,1340788,55.6436
./images\image50.jpg,1376,1376,1893376,7185.45,5680128,1570227,72.3558,1,5,1412415,54.8074
