Image,Width,Height,Pixels,Time_ms,Orig_Size,Comp_Size,Reduction,Pixel_Diff_Min,Pixel_Diff_Max,Changed_Pixels,PSNR
image1.jpg,200,200,40000,290.601,120000,17320,85.5667,1,10,37989,54.4428
image2.jpg,224,224,50176,254.238,150528,15627,89.6185,1,5,8828,58.5455
image3.jpg,248,248,61504,473.786,184512,33196,82.0088,1,9,47934,53.3156
image4.jpg,272,272,73984,654.153,221952,48155,78.3039,1,10,58344,51.9075
image5.jpg,296,296,87616,485.38,262848,32973,87.4555,1,5,62369,55.205
image7.jpg,344,344,118336,879.597,355008,61020,82.8117,1,9,101353,53.2781
image8.jpg,368,368,135424,1077.39,406272,76355,81.2059,1,9,97871,53.0646
image9.jpg,392,392,153664,1063.4,460992,79062,82.8496,1,10,126015,52.4588
image10.jpg,416,416,173056,817.595,519168,54915,89.4225,1,12,94521,54.7829
image11.jpg,440,440,193600,1060.61,580800,65730,88.6829,1,10,190504,51.7019
image12.jpg,464,464,215296,1272.27,645888,78431,87.8569,1,10,132651,54.0351
image13.jpg,488,488,238144,1535.05,714432,103356,85.5331,1,10,164209,53.2368
image14.jpg,512,512,262144,2405.12,786432,164956,79.0248,1,12,195728,51.5146
image15.jpg,536,536,287296,2273.82,861888,138177,83.9681,1,11,206973,52.6732
image16.jpg,560,560,313600,2353.47,940800,151768,83.8682,1,11,194976,53.142
image17.jpg,584,584,341056,2556.22,1023168,164419,83.9304,1,11,238949,53.4839
image18.jpg,608,608,369664,4169.17,1108992,287049,74.1162,1,9,324656,52.4315
image19.jpg,632,632,399424,3286.53,1198272,231540,80.6772,1,12,341118,53.5916
image20.jpg,656,656,430336,2819.72,1291008,166251,87.1224,1,13,292789,54.89
image21.jpg,680,680,462400,3303.98,1387200,215829,84.4414,1,9,337061,55.1454
image22.jpg,704,704,495616,4479.19,1486848,321870,78.3522,1,11,387990,51.842
image23.jpg,728,728,529984,3325.34,1589952,223699,85.9305,1,12,276303,53.3058
image24.jpg,752,752,565504,3843.21,1696512,255653,84.9307,1,6,445121,54.5626
image25.jpg,776,776,602176,5839.55,1806528,401254,77.7887,1,14,513807,52.5813
image26.jpg,800,800,640000,6973.6,1920000,497747,74.0757,1,15,572852,51.318
image27.jpg,824,824,678976,4345.3,2036928,286793,85.9203,1,11,481846,53.0684
image28.jpg,848,848,719104,6141.82,2157312,424810,80.3084,1,10,564019,53.0694
image29.jpg,872,872,760384,8688.45,2281152,580720,74.5427,1,14,590297,52.3204
image30.jpg,896,896,802816,8707.73,2408448,604045,74.9197,1,11,634071,52.2863
image31.jpg,920,920,846400,6509.86,2539200,451302,82.2266,1,11,610054,53.9092
image32.jpg,944,944,891136,7089.22,2673408,488731,81.7188,1,10,706318,53.0087
image33.jpg,968,968,937024,12886.8,2811072,949488,66.2233,1,11,832029,51.5226
image34.jpg,992,992,984064,9638.96,2952192,665162,77.4689,1,10,738511,52.9701
image35.jpg,1016,1016,1032256,12304.9,3096768,863540,72.1148,1,9,863884,51.4838
image36.jpg,1040,1040,1081600,9287.64,3244800,630266,80.5761,1,14,787239,53.1646
image37.jpg,1064,1064,1132096,9787.06,3396288,655187,80.7087,1,10,828589,53.7931
image38.jpg,1088,1088,1183744,12535.3,3551232,944579,73.4014,1,12,1011828,51.9455
image39.jpg,1112,1112,1236544,21842.2,3709632,1563501,57.8529,1,13,1131583,48.0527
image40.jpg,1136,1136,1290496,13199.7,3871488,961570,75.1628,1,13,1098774,52.5357
image41.jpg,1160,1160,1345600,11891.4,4036800,835433,79.3046,1,11,1164637,53.2673
image42.jpg,1184,1184,1401856,13574.5,4205568,945381,77.5207,1,12,1203590,52.624
image43.jpg,1208,1208,1459264,10476.1,4377792,697062,84.0773,1,12,1204398,54.5842
image44.jpg,1232,1232,1517824,9991.68,4553472,649861,85.7282,1,8,1048781,55.0494
image45.jpg,1256,1256,1577536,12647.3,4732608,818247,82.7104,1,8,1186349,54.6622
image46.jpg,1280,1280,1638400,14602.9,4915200,1028763,79.0698,1,12,1269968,53.6522
image47.jpg,1304,1304,1700416,16796.5,5101248,1188278,76.7061,1,16,1259171,51.5779
image48.jpg,1328,1328,1763584,15613.8,5290752,1077326,79.6376,1,11,1372150,53.6475
image49.jpg,1352,1352,1827904,24606.7,5483712,1749903,68.0891,1,11,1628737,49.9948
image50.jpg,1376,1376,1893376,22344.1,5680128,1575876,72.2563,1,10,1482596,53.0315
